,0,1,2,locid
0,"{'stat': 'mean', 'value': 47.2079}","{'stat': 'upper', 'value': 65.2029}","{'stat': 'lower', 'value': 29.9705}",3007255
0,"{'stat': 'mean', 'value': 52.433}","{'stat': 'upper', 'value': 70.3208}","{'stat': 'lower', 'value': 33.659}",7008255
0,"{'stat': 'mean', 'value': 48.9451}","{'stat': 'upper', 'value': 66.1656}","{'stat': 'lower', 'value': 31.9412}",6008255
0,"{'stat': 'mean', 'value': 52.1393}","{'stat': 'upper', 'value': 69.9685}","{'stat': 'lower', 'value': 34.5952}",5008255
0,"{'stat': 'mean', 'value': 49.6995}","{'stat': 'upper', 'value': 67.5403}","{'stat': 'lower', 'value': 33.8966}",4008255
0,"{'stat': 'mean', 'value': 50.5247}","{'stat': 'upper', 'value': 67.2357}","{'stat': 'lower', 'value': 33.4412}",8008255
0,"{'stat': 'mean', 'value': 47.6315}","{'stat': 'upper', 'value': 64.6929}","{'stat': 'lower', 'value': 30.373}",3008255
0,"{'stat': 'mean', 'value': 50.6579}","{'stat': 'upper', 'value': 67.4931}","{'stat': 'lower', 'value': 33.8048}",2008255
0,"{'stat': 'mean', 'value': 52.8348}","{'stat': 'upper', 'value': 70.6979}","{'stat': 'lower', 'value': 35.0144}",1008255
0,"{'stat': 'mean', 'value': 44.3208}","{'stat': 'upper', 'value': 63.4812}","{'stat': 'lower', 'value': 28.1812}",10009255
0,"{'stat': 'mean', 'value': 40.6527}","{'stat': 'upper', 'value': 58.2318}","{'stat': 'lower', 'value': 24.6898}",5009255
0,"{'stat': 'mean', 'value': 43.1426}","{'stat': 'upper', 'value': 61.7007}","{'stat': 'lower', 'value': 26.9259}",9009255
0,"{'stat': 'mean', 'value': 43.1134}","{'stat': 'upper', 'value': 60.1309}","{'stat': 'lower', 'value': 26.4126}",4009255
0,"{'stat': 'mean', 'value': 34.6612}","{'stat': 'upper', 'value': 53.2833}","{'stat': 'lower', 'value': 17.7014}",6009255
0,"{'stat': 'mean', 'value': 41.882}","{'stat': 'upper', 'value': 59.61}","{'stat': 'lower', 'value': 25.061}",1009255
0,"{'stat': 'mean', 'value': 42.4471}","{'stat': 'upper', 'value': 61.1059}","{'stat': 'lower', 'value': 26.3766}",8009255
0,"{'stat': 'mean', 'value': 42.5151}","{'stat': 'upper', 'value': 60.3203}","{'stat': 'lower', 'value': 26.9401}",7009255
0,"{'stat': 'mean', 'value': 42.5563}","{'stat': 'upper', 'value': 60.223}","{'stat': 'lower', 'value': 27.2611}",11009255
0,"{'stat': 'mean', 'value': 45.5363}","{'stat': 'upper', 'value': 63.4757}","{'stat': 'lower', 'value': 28.2115}",3009255
0,"{'stat': 'mean', 'value': 43.6099}","{'stat': 'upper', 'value': 62.692}","{'stat': 'lower', 'value': 27.3028}",2009255
0,"{'stat': 'mean', 'value': 47.0346}","{'stat': 'upper', 'value': 66.1733}","{'stat': 'lower', 'value': 28.3821}",6010255
0,"{'stat': 'mean', 'value': 39.7238}","{'stat': 'upper', 'value': 59.413}","{'stat': 'lower', 'value': 22.2192}",7010255
0,"{'stat': 'mean', 'value': 46.2979}","{'stat': 'upper', 'value': 64.587}","{'stat': 'lower', 'value': 29.1087}",5010255
0,"{'stat': 'mean', 'value': 41.676}","{'stat': 'upper', 'value': 60.0727}","{'stat': 'lower', 'value': 24.7087}",3010255
0,"{'stat': 'mean', 'value': 47.027}","{'stat': 'upper', 'value': 65.7654}","{'stat': 'lower', 'value': 30.1396}",2010255
0,"{'stat': 'mean', 'value': 42.9425}","{'stat': 'upper', 'value': 61.0597}","{'stat': 'lower', 'value': 25.5172}",1010255
0,"{'stat': 'mean', 'value': 47.3168}","{'stat': 'upper', 'value': 66.797}","{'stat': 'lower', 'value': 29.5567}",4010255
