,Unnamed: 0,Unnamed: 1,Unnamed: 2,Stunting,Unnamed: 3,Unnamed: 4,Wasting,Unnamed: 5,Underweight,Unnamed: 6
0,Admin 1 Namea,Admin 2 Nameb,Percentage,Upper UI,Lower UI,Percentage,Upper UI,Lower UI,Percentage  Upper UI,Lower UI
1,Central,Chibombo,32.6,35.5,29.7,4.8,7.1,3.0,10.4 12.3,8.7
2,Central,Kabwe,31.7,36.3,27.1,4.9,9.1,2.3,10.8 14.0,8.0
3,Central,Kapiri-Mposhi,33.0,36.0,29.9,3.3,5.7,1.7,11.1 13.5,9.0
4,Central,Mkushi,34.9,37.8,32.1,3.1,5.4,1.6,11.9 14.2,9.7
5,Central,Mumbwa,30.2,32.7,27.5,5.2,8.3,2.9,10.1 12.3,8.3
6,Central,Serenje,37.2,40.7,33.9,3.6,6.8,1.8,13.1 16.0,10.4
7,Copperbelt,Chililabombwe,33.8,38.6,29.0,3.0,6.5,1.1,11.9 15.7,8.9
8,Copperbelt,Chingola,33.5,39.1,28.3,2.8,5.6,1.2,11.8 15.8,8.6
9,Copperbelt,Kalulushi,32.1,36.0,28.2,4.9,8.4,2.8,11.9 15.0,9.4
10,Copperbelt,Kitwe,30.5,34.8,26.0,6.3,10.0,3.9,12.1 15.3,9.4
11,Copperbelt,Luanshya,32.8,37.2,28.8,5.7,9.4,3.0,12.2 15.7,9.4
12,Copperbelt,Lufwanyama,33.2,36.4,30.4,3.6,6.4,1.9,11.7 13.9,9.7
13,Copperbelt,Masaiti,34.0,37.9,30.2,4.4,7.4,2.5,12.3 15.5,9.8
14,Copperbelt,Mpongwe,32.7,35.7,29.8,3.7,6.9,1.6,11.4 13.8,9.4
15,Copperbelt,Mufulira,32.5,37.8,27.9,4.8,8.7,2.4,12.2 15.9,9.2
16,Copperbelt,Ndola,32.2,36.8,27.9,4.8,8.3,2.6,12.3 15.8,9.4
17,Eastern,Chadiza,33.2,37.3,29.4,2.3,4.4,1.0,9.5 12.0,7.2
18,Eastern,Chama,32.0,35.7,28.2,5.6,9.4,3.2,12.5 15.5,9.6
19,Eastern,Chipata,32.2,35.8,28.4,2.9,5.0,1.6,9.3 11.7,7.2
20,Eastern,Katete,34.2,37.9,30.6,2.3,4.1,1.1,9.9 12.4,7.8
21,Eastern,Lundazi,34.0,37.7,30.7,2.9,5.3,1.5,10.9 13.7,8.4
22,Eastern,Mambwe,31.8,35.2,28.4,2.8,5.5,1.1,9.9 12.4,7.9
23,Eastern,Nyimba,32.3,35.9,28.8,3.3,6.1,1.5,11.5 14.4,9.1
24,Eastern,Petauke,33.6,36.9,30.3,2.5,4.5,1.4,10.7 13.3,8.5
25,Luapula,Chienge,45.4,50.3,40.0,7.2,12.1,4.0,15.5 19.6,12.2
26,Luapula,Kawambwa,44.8,49.0,41.0,4.8,8.2,2.6,15.4 18.8,12.4
27,Luapula,Mansa,41.2,44.8,37.6,3.8,6.3,2.0,13.8 16.8,11.2
28,Luapula,Milenge,39.3,42.7,36.0,5.1,10.0,2.0,14.1 17.3,11.4
29,Luapula,Mwense,43.1,47.6,39.1,4.3,8.0,1.9,14.6 18.2,11.6
30,Luapula,Nchelenge,44.2,48.5,39.6,5.7,9.9,3.0,15.6 19.5,12.3
31,Luapula,Samfya,44.2,48.4,40.5,3.9,6.9,2.0,14.9 18.0,12.2
32,Lusaka,Chongwe,32.8,35.9,29.9,5.4,8.5,3.3,10.7 12.8,8.8
33,Lusaka,Kafue,33.3,38.1,28.8,4.0,6.4,2.4,10.3 13.4,7.7
34,Lusaka,Luangwa,30.9,35.4,26.7,5.0,10.1,2.0,11.4 14.9,8.6
35,Lusaka,Lusaka,32.6,36.9,28.1,4.2,6.5,2.6,10.3 13.4,7.8
36,North-Western,Chavuma,30.9,36.3,25.6,3.1,7.7,1.0,11.9 15.9,8.4
37,North-Western,Kabompo,32.1,36.3,28.0,3.3,6.6,1.3,12.4 15.8,9.4
