,0,1,2,locid
0,"{'stat': 'mean', 'value': 5.96893}","{'stat': 'upper', 'value': 10.8172}","{'stat': 'lower', 'value': 3.04626}",3007255
0,"{'stat': 'mean', 'value': 6.05169}","{'stat': 'upper', 'value': 10.2683}","{'stat': 'lower', 'value': 2.95698}",7008255
0,"{'stat': 'mean', 'value': 5.47046}","{'stat': 'upper', 'value': 9.78286}","{'stat': 'lower', 'value': 2.63204}",6008255
0,"{'stat': 'mean', 'value': 5.67175}","{'stat': 'upper', 'value': 10.1212}","{'stat': 'lower', 'value': 2.70302}",5008255
0,"{'stat': 'mean', 'value': 5.91267}","{'stat': 'upper', 'value': 10.3396}","{'stat': 'lower', 'value': 2.94459}",4008255
0,"{'stat': 'mean', 'value': 5.74359}","{'stat': 'upper', 'value': 10.0056}","{'stat': 'lower', 'value': 2.69499}",8008255
0,"{'stat': 'mean', 'value': 5.38417}","{'stat': 'upper', 'value': 9.43546}","{'stat': 'lower', 'value': 2.39338}",3008255
0,"{'stat': 'mean', 'value': 6.36132}","{'stat': 'upper', 'value': 11.4945}","{'stat': 'lower', 'value': 2.97092}",2008255
0,"{'stat': 'mean', 'value': 6.10442}","{'stat': 'upper', 'value': 11.0545}","{'stat': 'lower', 'value': 2.95632}",1008255
0,"{'stat': 'mean', 'value': 5.94245}","{'stat': 'upper', 'value': 10.0674}","{'stat': 'lower', 'value': 2.8606800000000003}",10009255
0,"{'stat': 'mean', 'value': 7.20874}","{'stat': 'upper', 'value': 12.6938}","{'stat': 'lower', 'value': 3.3957100000000002}",5009255
0,"{'stat': 'mean', 'value': 6.50932}","{'stat': 'upper', 'value': 11.4286}","{'stat': 'lower', 'value': 3.39959}",9009255
0,"{'stat': 'mean', 'value': 6.36991}","{'stat': 'upper', 'value': 10.7261}","{'stat': 'lower', 'value': 3.01071}",4009255
0,"{'stat': 'mean', 'value': 6.17053}","{'stat': 'upper', 'value': 12.8751}","{'stat': 'lower', 'value': 2.29004}",6009255
0,"{'stat': 'mean', 'value': 6.7885}","{'stat': 'upper', 'value': 12.0045}","{'stat': 'lower', 'value': 3.42167}",1009255
0,"{'stat': 'mean', 'value': 6.14864}","{'stat': 'upper', 'value': 10.9635}","{'stat': 'lower', 'value': 2.7253600000000002}",8009255
0,"{'stat': 'mean', 'value': 6.29864}","{'stat': 'upper', 'value': 11.1146}","{'stat': 'lower', 'value': 3.13673}",7009255
0,"{'stat': 'mean', 'value': 7.48336}","{'stat': 'upper', 'value': 13.3721}","{'stat': 'lower', 'value': 3.6982600000000003}",11009255
0,"{'stat': 'mean', 'value': 7.24998}","{'stat': 'upper', 'value': 13.044}","{'stat': 'lower', 'value': 3.48406}",3009255
0,"{'stat': 'mean', 'value': 5.64458}","{'stat': 'upper', 'value': 10.2823}","{'stat': 'lower', 'value': 2.82268}",2009255
0,"{'stat': 'mean', 'value': 7.61272}","{'stat': 'upper', 'value': 13.0979}","{'stat': 'lower', 'value': 3.8181700000000003}",6010255
0,"{'stat': 'mean', 'value': 6.06137}","{'stat': 'upper', 'value': 11.1693}","{'stat': 'lower', 'value': 2.87444}",7010255
0,"{'stat': 'mean', 'value': 6.68354}","{'stat': 'upper', 'value': 11.6417}","{'stat': 'lower', 'value': 3.39375}",5010255
0,"{'stat': 'mean', 'value': 6.35555}","{'stat': 'upper', 'value': 11.7914}","{'stat': 'lower', 'value': 2.9834300000000002}",3010255
0,"{'stat': 'mean', 'value': 6.34681}","{'stat': 'upper', 'value': 11.3298}","{'stat': 'lower', 'value': 3.2371}",2010255
0,"{'stat': 'mean', 'value': 7.33076}","{'stat': 'upper', 'value': 12.9101}","{'stat': 'lower', 'value': 3.67199}",1010255
0,"{'stat': 'mean', 'value': 6.87776}","{'stat': 'upper', 'value': 12.1378}","{'stat': 'lower', 'value': 3.24957}",4010255
