Admin1Name,Name_2,adm1,adm0,Stunting,Stunting Uncertainty,Wasting,Wasting Uncertainty,Underweight,Underweight Uncertainty,dataset
North-Western,Ikelenge,North-Western,Zambia,46.2367,35.153,6.16844,7.82927,14.3741,15.88905,ihme
North-Western,Mwinilunga,North-Western,Zambia,46.2367,35.153,6.16844,7.82927,14.3741,15.88905,ihme
Northern,Nakonde,Muchinga,Zambia,48.3434,34.3283,5.41646,6.79256,13.8473,15.10785,ihme
Southern,Namwala,Southern,Zambia,43.1426,34.7748,6.50932,8.02901,13.3339,14.82175,ihme
Luapula,Nchelenge,Luapula,Zambia,46.2008,36.0898,6.03332,7.81861,15.1926,17.53521,ihme
Copperbelt,Ndola,Copperbelt,Zambia,39.3218,37.3662,5.29438,7.4464,11.4775,14.28023,ihme
Eastern,Nyimba,Eastern,Zambia,52.2669,35.2808,6.3031,7.87597,13.2878,14.01093,ihme
Eastern,Petauke,Eastern,Zambia,52.2039,32.3506,6.18286,7.97964,12.4327,13.29431,ihme
Luapula,Samfya,Luapula,Zambia,48.2846,37.7069,5.908,8.00722,15.091,15.61829,ihme
Western,Senanga,Western,Zambia,46.2979,35.4783,6.68354,8.24795,15.2029,15.61367,ihme
Central,Serenje,Central,Zambia,45.4382,35.8633,6.03966,7.25766,12.5469,12.81632,ihme
Western,Sesheke,Western,Zambia,47.0346,37.7912,7.61272,9.27973,17.0354,18.79361,ihme
Western,Shang'ombo,Western,Zambia,39.7238,37.1938,6.06137,8.29486,13.0309,15.70329,ihme
Southern,Siavonga,Southern,Zambia,44.3208,35.3,5.94245,7.20672,13.718,15.2616,ihme
Southern,Sinazongwe,Southern,Zambia,42.5563,32.9619,7.48336,9.67384,14.402,16.79619,ihme
North-Western,Solwezi,North-Western,Zambia,45.251,32.7797,6.21222,7.16068,13.3562,14.96082,ihme
North-Western,Zambezi,North-Western,Zambia,46.5774,33.7223,6.76747,8.2129,15.4989,16.45003,ihme
